tempo,artist_familiarity,duration,loudness,Genre
243.195,0.435105061,43.88526,-23.366,Jazz
240.983,0.530630809,288.49587,-13.915,Folk
238.875,0.589314502,204.14649,-4.621,International
232.436,0.448026304,152.05832,-15.79,Latin
229.221,0.648902582,196.93669,-7.445,Latin
228.461,0.444926413,263.47057,-7.961,Latin
224.471,0.401327986,52.76689,-26.343,International
224.247,0.479620747,238.00118,-10.623,Latin
223.34,0.518501273,176.56118,-5.864,Country
222.02,0.30794885,250.56608,-6.063,International
221.81,0.577228503,350.27546,-15.82,Jazz
221.796,0.322476082,252.9171,-7.742,Latin
220.266,0.291191599,185.93914,-13.974,International
220.026,0.631482179,229.51138,-14.659,Jazz
218.681,0.641172818,119.71873,-12.192,Jazz
217.289,0.590792957,107.83302,-6.028,Blues
216.557,0.51638034,243.43465,-8.864,Jazz
216.196,0.584989173,211.74812,-5.184,Latin
216.023,0.558007752,314.48771,-10.215,Electronic
215.595,0.461741493,249.23383,-7.622,Latin
213.718,0.577228503,427.07546,-9.428,Jazz
210.305,0.483243067,324.51873,-11.273,International
209.581,0.643016666,291.02975,-13.739,Jazz
207.152,0.456136674,142.88934,-17.317,International
206.637,0.603575983,221.64853,-6.693,Latin
206.609,0.426683814,314.40934,-11.92,Jazz
206.02,0.447725075,249.49506,-12.005,Latin
205.972,0.741195239,256.31302,-8.788,Electronic
205.333,0.576044173,165.22404,-13.777,Latin
204.064,0.892688611,99.3171,-20.575,Avant_Garde
203.994,0.591846287,88.58077,-3.211,Latin
202.999,0.58547954,146.23302,-10.607,Easy_Listening
202.789,0.548189066,156.18567,-14.873,International
201.792,0.877119424,211.80036,-10.447,Latin
201.578,0.302396562,172.48608,-12.141,International
200.534,0.533453343,288.83546,-2.968,Latin
200.039,0.700716633,420.62322,-9.514,Latin
199.894,0.448026304,168.88118,-15.05,Latin
198.855,0.577228503,282.20036,-7.151,Jazz
198.118,0.576044173,165.27628,-13.718,Latin
197.458,0.555966789,281.41669,-5.799,Latin
197.352,0.748320703,99.57832,-8.936,Latin
197.038,0.423065328,489.482,-17.958,Latin
196.52,0.57763315,209.47546,-16.079,Latin
196.446,0.391454064,164.38812,-11.113,Latin
196.188,0.546788717,199.13098,-4.314,Latin
